game_id,home_team,away_team,home_shots_on_goal,away_shots_on_goal,corsi_home,corsi_away,fenwick_home,fenwick_away,corsi_home_%,corsi_away_%,fenwick_home_%,fenwick_away_%
2023020001,TBL,NSH,34,31,61,65,50,46,0.48412698412698413,0.5158730158730159,0.5208333333333334,0.4791666666666667
2023020002,PIT,CHI,41,36,71,73,55,54,0.4930555555555556,0.5069444444444444,0.5045871559633027,0.4954128440366973
2023020003,VGK,SEA,28,33,61,71,42,48,0.4621212121212121,0.5378787878787878,0.4666666666666667,0.5333333333333333
2023020004,CAR,OTT,42,30,79,56,61,46,0.5851851851851851,0.4148148148148148,0.5700934579439252,0.42990654205607476
2023020005,TOR,MTL,44,25,74,54,57,38,0.578125,0.421875,0.6,0.4
2023020006,BOS,CHI,33,21,74,45,49,33,0.6218487394957983,0.37815126050420167,0.5975609756097561,0.4024390243902439
2023020007,CGY,WPG,22,37,45,83,31,57,0.3515625,0.6484375,0.3522727272727273,0.6477272727272727
2023020008,LAK,COL,36,37,73,60,49,46,0.5488721804511278,0.45112781954887216,0.5157894736842106,0.4842105263157895
2023020009,VAN,EDM,32,27,54,55,43,40,0.4954128440366973,0.5045871559633027,0.5180722891566265,0.4819277108433735
2023020010,BUF,NYR,25,31,61,57,38,43,0.5169491525423728,0.4830508474576271,0.4691358024691358,0.5308641975308642
2023020011,CBJ,PHI,33,37,61,74,43,50,0.45185185185185184,0.5481481481481482,0.46236559139784944,0.5376344086021505
2023020012,NJD,DET,27,35,68,58,52,46,0.5396825396825397,0.4603174603174603,0.5306122448979592,0.46938775510204084
2023020013,DAL,STL,37,26,73,50,54,33,0.5934959349593496,0.4065040650406504,0.6206896551724138,0.3793103448275862
2023020014,MIN,FLA,21,41,40,83,28,53,0.3252032520325203,0.6747967479674797,0.345679012345679,0.654320987654321
2023020015,NSH,SEA,35,23,74,61,54,40,0.5481481481481482,0.45185185185185184,0.574468085106383,0.425531914893617
2023020016,SJS,VGK,23,32,47,61,36,40,0.4351851851851852,0.5648148148148148,0.47368421052631576,0.5263157894736842
2023020017,NJD,ARI,38,35,68,55,48,41,0.5528455284552846,0.44715447154471544,0.5393258426966292,0.4606741573033708
2023020018,WSH,PIT,19,35,54,68,32,50,0.4426229508196721,0.5573770491803278,0.3902439024390244,0.6097560975609756
2023020019,OTT,PHI,31,21,53,50,44,32,0.5145631067961165,0.4854368932038835,0.5789473684210527,0.42105263157894735
2023020020,WPG,FLA,35,33,54,67,44,51,0.4462809917355372,0.5537190082644629,0.4631578947368421,0.5368421052631579
2023020021,BOS,NSH,30,36,60,72,37,54,0.45454545454545453,0.5454545454545454,0.4065934065934066,0.5934065934065934
2023020022,CBJ,NYR,21,42,47,93,35,64,0.3357142857142857,0.6642857142857143,0.35353535353535354,0.6464646464646465
2023020023,DET,TBL,42,25,63,66,52,43,0.4883720930232558,0.5116279069767442,0.5473684210526316,0.45263157894736844
2023020024,MTL,CHI,36,30,66,61,44,41,0.5196850393700787,0.48031496062992124,0.5176470588235295,0.4823529411764706
2023020025,PIT,CGY,29,36,48,81,42,55,0.37209302325581395,0.627906976744186,0.4329896907216495,0.5670103092783505
2023020026,TOR,MIN,33,32,54,65,43,46,0.453781512605042,0.5462184873949579,0.48314606741573035,0.5168539325842697
2023020027,NYI,BUF,29,28,57,53,41,36,0.5181818181818182,0.4818181818181818,0.5324675324675324,0.4675324675324675
2023020028,STL,SEA,28,34,60,68,46,48,0.46875,0.53125,0.48936170212765956,0.5106382978723404
2023020029,EDM,VAN,40,16,88,33,60,24,0.7272727272727273,0.2727272727272727,0.7142857142857143,0.2857142857142857
2023020030,SJS,COL,24,54,60,113,41,83,0.3468208092485549,0.653179190751445,0.33064516129032256,0.6693548387096774
2023020031,VGK,ANA,38,23,69,49,50,35,0.5847457627118644,0.4152542372881356,0.5882352941176471,0.4117647058823529
2023020032,LAK,CAR,36,27,76,54,52,40,0.5846153846153846,0.4153846153846154,0.5652173913043478,0.43478260869565216
2023020033,OTT,TBL,38,24,62,50,44,34,0.5535714285714286,0.44642857142857145,0.5641025641025641,0.4358974358974359
2023020034,ANA,CAR,25,35,49,88,38,58,0.35766423357664234,0.6423357664233577,0.3958333333333333,0.6041666666666666
2023020035,CBJ,DET,23,28,50,48,35,38,0.5102040816326531,0.4897959183673469,0.4794520547945205,0.5205479452054794
2023020036,NJD,FLA,34,30,71,49,47,40,0.5916666666666667,0.4083333333333333,0.5402298850574713,0.45977011494252873
2023020037,NYR,ARI,28,27,61,53,46,38,0.5350877192982456,0.4649122807017544,0.5476190476190477,0.4523809523809524
2023020038,TOR,CHI,36,31,90,61,61,38,0.5960264900662252,0.40397350993377484,0.6161616161616161,0.3838383838383838
2023020039,WSH,CGY,25,41,57,77,42,56,0.4253731343283582,0.5746268656716418,0.42857142857142855,0.5714285714285714
2023020040,BUF,TBL,31,25,57,58,45,46,0.4956521739130435,0.5043478260869565,0.4945054945054945,0.5054945054945055
2023020041,MTL,MIN,28,35,46,67,39,42,0.40707964601769914,0.5929203539823009,0.48148148148148145,0.5185185185185185
2023020042,PHI,VAN,42,26,60,57,48,41,0.5128205128205128,0.48717948717948717,0.5393258426966292,0.4606741573033708
2023020043,NYI,ARI,34,14,64,46,51,30,0.5818181818181818,0.41818181818181815,0.6296296296296297,0.37037037037037035
2023020044,NSH,EDM,44,30,66,54,52,44,0.55,0.45,0.5416666666666666,0.4583333333333333
2023020045,WPG,LAK,27,29,57,53,38,44,0.5181818181818182,0.4818181818181818,0.4634146341463415,0.5365853658536586
2023020046,SEA,COL,38,28,72,55,50,38,0.5669291338582677,0.4330708661417323,0.5681818181818182,0.4318181818181818
2023020047,SJS,CAR,16,42,34,91,23,56,0.272,0.728,0.2911392405063291,0.7088607594936709
2023020048,VGK,DAL,37,27,67,60,47,40,0.5275590551181102,0.47244094488188976,0.5402298850574713,0.45977011494252873
2023020049,OTT,WSH,29,24,64,48,41,33,0.5714285714285714,0.42857142857142855,0.5540540540540541,0.44594594594594594
2023020050,DET,PIT,29,33,47,71,39,48,0.3983050847457627,0.6016949152542372,0.4482758620689655,0.5517241379310345
2023020051,BUF,CGY,27,36,55,67,38,55,0.45081967213114754,0.5491803278688525,0.40860215053763443,0.5913978494623656
2023020052,FLA,TOR,24,30,57,66,38,39,0.4634146341463415,0.5365853658536586,0.4935064935064935,0.5064935064935064
2023020053,NYR,NSH,24,27,60,46,38,36,0.5660377358490566,0.4339622641509434,0.5135135135135135,0.4864864864864865
2023020054,PHI,EDM,32,23,47,53,41,33,0.47,0.53,0.5540540540540541,0.44594594594594594
2023020055,TBL,VAN,36,29,56,59,42,35,0.48695652173913045,0.5130434782608696,0.5454545454545454,0.45454545454545453
2023020056,MIN,LAK,32,27,58,50,46,36,0.5370370370370371,0.46296296296296297,0.5609756097560976,0.43902439024390244
2023020057,STL,ARI,26,42,45,69,35,55,0.39473684210526316,0.6052631578947368,0.3888888888888889,0.6111111111111112
