team,avgShotsProjectedAgainst,avgShotsProjectedFor
ANA,28.954545454545453,25.166666666666668
ARI,28.01851851851852,25.58450704225352
BOS,27.232394366197184,26.98611111111111
BUF,27.013157894736842,27.460526315789473
CAR,24.772727272727273,29.233333333333334
CBJ,28.525,26.76388888888889
CGY,26.23015873015873,27.642857142857142
CHI,28.6125,25.12162162162162
COL,26.260563380281692,28.30821917808219
DAL,26.460526315789473,27.58219178082192
DET,27.75974025974026,26.271428571428572
EDM,25.837662337662337,28.592307692307692
FLA,26.259493670886076,28.623287671232877
LA,25.793333333333333,28.102739726027398
MIN,27.0,26.908450704225352
MTL,28.5,25.773972602739725
NJ,27.066666666666666,27.37142857142857
NSH,27.076271186440678,27.34285714285714
NYI,28.05128205128205,26.850649350649352
NYR,26.639240506329113,27.120253164556964
OTT,26.847826086956523,28.034246575342465
PHI,25.850649350649352,27.88157894736842
PIT,27.080246913580247,28.19736842105263
SEA,26.39830508474576,26.39041095890411
SJ,29.317073170731707,24.739436619718308
STL,28.09493670886076,26.208333333333332
TB,26.727272727272727,26.86842105263158
TOR,26.473684210526315,28.2375
VAN,26.694444444444443,26.404109589041095
VGK,26.90983606557377,27.175675675675677
WPG,26.44871794871795,27.556338028169016
WSH,27.4375,26.064102564102566
