game_id,home_team,away_team,goalie_name,opening_line,goalieTeam
11864,TB,NSH,Juuse Saros,30.5,NSH
11864,TB,NSH,Jonas Johansson,26.5,TB
11865,PIT,CHI,Tristan Jarry,25.5,PIT
11865,PIT,CHI,Petr Mrazek,31.5,CHI
11866,VGK,SEA,Philipp Grubauer,26.5,SEA
11866,VGK,SEA,Adin Hill,26.5,VGK
11867,TOR,MTL,Ilya Samsonov,25.5,TOR
11867,TOR,MTL,Jake Allen,30.5,MTL
11868,CAR,OTT,Frederik Andersen,25.5,CAR
11868,CAR,OTT,Joonas Korpisalo,31.5,OTT
11869,BOS,CHI,Arvid Soderblom,30.5,CHI
11869,BOS,CHI,Linus Ullmark,25.5,BOS
11870,LA,COL,Cam Talbot,27.5,LA
11870,LA,COL,Alexandar Georgiev,27.5,COL
11871,VAN,EDM,Thatcher Demko,28.5,VAN
11871,VAN,EDM,Jack Campbell,26.5,EDM
11872,CGY,WPG,Connor Hellebuyck,29.5,WPG
11872,CGY,WPG,Jacob Markstrom,26.5,CGY
11873,CBJ,PHI,Carter Hart,27.5,PHI
11873,CBJ,PHI,Elvis Merzlikins,28.5,CBJ
11874,BUF,NYR,Devon Levi,27.5,BUF
11874,BUF,NYR,Igor Shesterkin,28.5,NYR
11875,NJ,DET,Vitek Vanecek,25.5,NJ
11875,NJ,DET,Ville Husso,28.5,DET
11876,DAL,STL,Jordan Binnington,28.5,STL
11876,DAL,STL,Jake Oettinger,25.5,DAL
11877,MIN,FLA,Filip Gustavsson,28.5,MIN
11877,MIN,FLA,Sergei Bobrovsky,27.5,FLA
11878,NSH,SEA,Philipp Grubauer,25.5,SEA
11878,NSH,SEA,Juuse Saros,27.5,NSH
11879,SJ,VGK,Kaapo Kahkonen,28.5,SJ
11879,SJ,VGK,Logan Thompson,26.5,VGK
11880,NJ,ARI,Akira Schmid,24.5,NJ
11880,NJ,ARI,Karel Vejmelka,29.5,ARI
11881,WSH,PIT,Charlie Lindgren,28.5,WSH
11881,WSH,PIT,Tristan Jarry,27.5,PIT
