event_id,home_team,visitor_team
11864,TB,NSH
11865,PIT,CHI
11866,VGK,SEA
11867,TOR,MTL
11868,CAR,OTT
11869,BOS,CHI
11870,LA,COL
11871,VAN,EDM
11872,CGY,WPG
11873,CBJ,PHI
11874,BUF,NYR
11875,NJ,DET
11876,DAL,STL
11877,MIN,FLA
11878,NSH,SEA
11879,SJ,VGK
11880,NJ,ARI
11881,WSH,PIT
11882,OTT,PHI
11883,WPG,FLA
11884,DET,TB
11885,PIT,CGY
11886,MTL,CHI
11887,BOS,NSH
11888,TOR,MIN
11889,CBJ,NYR
11890,NYI,BUF
11891,STL,SEA
11892,SJ,COL
11893,EDM,VAN
11894,VGK,ANA
11895,LA,CAR
11896,OTT,TB
11897,ANA,CAR
11898,CBJ,DET
11899,TOR,CHI
11900,NYR,ARI
11901,WSH,CGY
11902,NJ,FLA
11903,MTL,MIN
11904,PHI,VAN
11905,NYI,ARI
11906,BUF,TB
11907,WPG,LA
11908,NSH,EDM
11909,SEA,COL
11910,VGK,DAL
11911,SJ,CAR
11912,OTT,WSH
11913,DET,PIT
11914,NYR,NSH
11915,FLA,TOR
11916,BUF,CGY
11917,TB,VAN
11918,PHI,EDM
11919,WPG,VGK
11920,STL,ARI
11921,MIN,LA
11922,SEA,CAR
11923,ANA,DAL
11924,SJ,BOS
11925,COL,CHI
11926,CBJ,CGY
11927,NYI,NJ
11928,OTT,DET
11929,ARI,ANA
11930,BUF,NYI
11931,FLA,VAN
11932,MTL,WSH
11933,TB,TOR
11934,NSH,SJ
11935,CHI,VGK
11936,MIN,CBJ
11937,DAL,PHI
11938,STL,PIT
11939,COL,CAR
11940,EDM,WPG
11941,SEA,NYR
11942,LA,BOS
11943,DET,CGY
11944,ANA,BOS
11945,BUF,MTL
11946,WSH,TOR
11947,CBJ,ANA
11948,OTT,BUF
11949,TB,CAR
11950,MTL,NJ
11951,PIT,DAL
11952,FLA,SJ
11953,NYI,COL
11954,DET,SEA
11955,CHI,BOS
11956,WPG,STL
11957,MIN,EDM
11958,NSH,VAN
11959,CGY,NYR
11960,LA,ARI
11961,VGK,PHI
11962,NJ,WSH
11963,TB,SJ
11964,PIT,COL
11965,MTL,CBJ
11966,BOS,ANA
11967,DET,WPG
11968,CAR,SEA
11969,NYI,OTT
11970,PHI,MIN
11971,DAL,TOR
11972,EDM,NYR
11973,CGY,STL
11974,VGK,CHI
11975,CAR,SJ
11976,NJ,BUF
11977,WSH,MIN
11978,ARI,LA
11979,VAN,STL
11980,PHI,ANA
11981,FLA,SEA
11982,BOS,DET
11983,MTL,WPG
11984,PIT,OTT
11985,NSH,TOR
11986,CBJ,NYI
11987,VAN,NYR
11988,LA,VGK
11989,BUF,COL
11990,WSH,SJ
11991,NJ,MIN
11992,EDM,CGY
11993,TB,SEA
11994,PHI,CAR
11995,PIT,ANA
11996,BOS,FLA
11997,NYI,DET
11998,WPG,NYR
11999,DAL,CBJ
12000,ARI,CHI
12001,VGK,MTL
12002,TOR,LA
12003,VAN,NSH
12004,PHI,BUF
12005,CGY,DAL
12006,COL,STL
12007,ANA,ARI
12008,DET,FLA
12009,NYR,CAR
12010,OTT,LA
12011,WSH,NYI
