goalie_name,event_id,opening_line,team
Juuse Saros,11864,30.5,NSH
Jonas Johansson,11864,26.5,TB
Tristan Jarry,11865,25.5,PIT
Petr Mrazek,11865,31.5,CHI
Philipp Grubauer,11866,26.5,SEA
Adin Hill,11866,26.5,VGK
Ilya Samsonov,11867,25.5,VGK
Jake Allen,11867,30.5,NJ
Frederik Andersen,11868,25.5,CAR
Joonas Korpisalo,11868,31.5,BOS
Arvid Soderblom,11869,30.5,CHI
Linus Ullmark,11869,25.5,OTT
Cam Talbot,11870,27.5,DET
Alexandar Georgiev,11870,27.5,COL
Thatcher Demko,11871,28.5,VAN
Stuart Skinner,11871,26.5,EDM
Jack Campbell,11871,26.5,DET
Connor Hellebuyck,11872,29.5,WPG
Jacob Markstrom,11872,26.5,NJ
Carter Hart,11873,27.5,PHI
Elvis Merzlikins,11873,28.5,CBJ
Devon Levi,11874,27.5,BUF
Igor Shesterkin,11874,28.5,NYR
Vitek Vanecek,11875,25.5,SJ
Ville Husso,11875,28.5,DET
Jordan Binnington,11876,28.5,STL
Jake Oettinger,11876,25.5,DAL
Filip Gustavsson,11877,28.5,MIN
Sergei Bobrovsky,11877,27.5,FLA
Philipp Grubauer,11878,25.5,SEA
Juuse Saros,11878,27.5,NSH
Kaapo Kahkonen,11879,28.5,COL
Logan Thompson,11879,26.5,WSH
Akira Schmid,11880,24.5,VGK
Karel Vejmelka,11880,29.5,UTA
Charlie Lindgren,11881,28.5,WSH
Tristan Jarry,11881,27.5,PIT
Carter Hart,11882,29.5,PHI
Sergei Bobrovsky,11883,29.5,FLA
Jonas Johansson,11884,26.5,TB
Ville Husso,11884,26.5,DET
Jacob Markstrom,11885,27.5,NJ
Alex Nedeljkovic,11885,28.5,PIT
Sam Montembeault,11886,27.5,MTL
Petr Mrazek,11886,29.5,CHI
Jeremy Swayman,11887,25.5,BOS
Juuse Saros,11887,28.5,NSH
Ilya Samsonov,11888,25.5,VGK
Filip Gustavsson,11888,30.5,MIN
Igor Shesterkin,11889,27.5,NYR
Elvis Merzlikins,11889,28.5,CBJ
Ilya Sorokin,11890,27.5,NYI
Devon Levi,11890,28.5,BUF
Jordan Binnington,11891,27.5,STL
Joey Daccord,11891,25.5,SEA
Alexandar Georgiev,11892,24.5,COL
Mackenzie Blackwood,11892,29.5,NJ
Stuart Skinner,11893,26.5,EDM
Casey DeSmith,11893,29.5,DAL
Adin Hill,11894,24.5,VGK
John Gibson,11894,31.5,ANA
Pheonix Copley,11895,28.5,LA
Frederik Andersen,11895,26.5,CAR
Joonas Korpisalo,11896,27.5,BOS
Matt Tomkins,11896,29.5,TB
Antti Raanta,11897,22.5,FA
Lukas Dostal,11897,32.5,ANA
James Reimer,11898,27.5,ANA
Spencer Martin,11898,28.5,CAR
Arvid Soderblom,11899,31.5,CHI
Joseph Woll,11899,25.5,TOR
Connor Ingram,11900,29.5,UTA
Igor Shesterkin,11900,24.5,NYR
Darcy Kuemper,11901,29.5,LA
Vitek Vanecek,11902,27.5,SJ
Sergei Bobrovsky,11902,28.5,FLA
Marc-Andre Fleury,11903,27.5,MIN
Sam Montembeault,11903,27.5,MTL
Thatcher Demko,11904,27.5,VAN
Carter Hart,11904,25.5,PHI
Karel Vejmelka,11905,28.5,UTA
Ilya Sorokin,11905,25.5,NYI
