game_id,home_team,away_team,home_goaltender,away_goaltender
20622,TB,NSH,Jonas Johansson,Juuse Saros
20623,PIT,CHI,Tristan Jarry,Petr Mrazek
20624,VGK,SEA,Adin Hill,Philipp Grubauer
20625,CAR,OTT,Frederik Andersen,Joonas Korpisalo
20626,TOR,MTL,Ilya Samsonov,Jake Allen
20627,BOS,CHI,Linus Ullmark,Arvid Söderblom
20628,CGY,WPG,Jacob Markstrom,Connor Hellebuyck
20629,LA,COL,Cam Talbot,Alexandar Georgiev
20630,VAN,EDM,Thatcher Demko,Jack Campbell
20631,BUF,NYR,Devon Levi,Igor Shesterkin
20632,NJ,DET,Vitek Vanecek,Ville Husso
20633,CBJ,PHI,Elvis Merzlikins,Carter Hart
20634,DAL,STL,Jake Oettinger,Jordan Binnington
20635,NSH,SEA,Juuse Saros,Philipp Grubauer
20636,MIN,FLA,Filip Gustavsson,Sergei Bobrovsky
20637,SJ,VGK,Kaapo Kahkonen,Logan Thompson
20638,NJ,ARI,Akira Schmid,Karel Vejmelka
20639,WSH,PIT,Charlie Lindgren,Tristan Jarry
20640,OTT,PHI,Anton Forsberg,Carter Hart
20641,WPG,FLA,Connor Hellebuyck,Sergei Bobrovsky
20642,BOS,NSH,Jeremy Swayman,Juuse Saros
20643,DET,TB,Ville Husso,Jonas Johansson
20644,MTL,CHI,Sam Montembeault,Petr Mrazek
20645,PIT,CGY,Alex Nedeljkovic,Jacob Markstrom
20646,TOR,MIN,Ilya Samsonov,Filip Gustavsson
20647,CBJ,NYR,Elvis Merzlikins,Igor Shesterkin
20648,NYI,BUF,Ilya Sorokin,Devon Levi
20649,STL,SEA,Jordan Binnington,Joey Daccord
20650,EDM,VAN,Stuart Skinner,Casey DeSmith
20651,SJ,COL,Mackenzie Blackwood,Alexandar Georgiev
20652,VGK,ANA,Adin Hill,John Gibson
20653,LA,CAR,Pheonix Copley,Frederik Andersen
20654,OTT,TB,Joonas Korpisalo,Matt Tomkins
20655,ANA,CAR,Lukas Dostal,Antti Raanta
20656,NJ,FLA,Vitek Vanecek,Sergei Bobrovsky
20657,NYR,ARI,Igor Shesterkin,Connor Ingram
20658,TOR,CHI,Joseph Woll,Arvid Söderblom
20659,WSH,CGY,Darcy Kuemper,Jacob Markstrom
20660,CBJ,DET,Spencer Martin,James Reimer
20661,BUF,TB,Devon Levi,Jonas Johansson
20662,MTL,MIN,Sam Montembeault,Marc-Andre Fleury
20663,PHI,VAN,Carter Hart,Thatcher Demko
20664,NYI,ARI,Ilya Sorokin,Karel Vejmelka
20665,NSH,EDM,Juuse Saros,Jack Campbell
20666,WPG,LA,Connor Hellebuyck,Cam Talbot
20667,SEA,COL,Philipp Grubauer,Alexandar Georgiev
20668,SJ,CAR,Mackenzie Blackwood,Frederik Andersen
20669,VGK,DAL,Adin Hill,Jake Oettinger
20670,OTT,WSH,Anton Forsberg,Darcy Kuemper
20671,DET,PIT,Ville Husso,Tristan Jarry
20672,BUF,CGY,Devon Levi,Dan Vladar
20673,NYR,NSH,Igor Shesterkin,Juuse Saros
20674,PHI,EDM,Carter Hart,Jack Campbell
20675,TB,VAN,Jonas Johansson,Thatcher Demko
20676,FLA,TOR,Sergei Bobrovsky,Ilya Samsonov
20677,STL,ARI,Joel Hofer,Connor Ingram
20678,WPG,VGK,Laurent Brossoit,Logan Thompson
20679,MIN,LA,Marc-Andre Fleury,Cam Talbot
20680,ANA,DAL,John Gibson,Jake Oettinger
20681,SEA,CAR,Joey Daccord,Antti Raanta
20682,COL,CHI,Alexandar Georgiev,Petr Mrazek
20683,SJ,BOS,Kaapo Kahkonen,Linus Ullmark
