team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2023,NYR,NYR,Team Level,other,82,0.59,0.57,0.57,11238.0,179.46,45.97,12.86,32.03,6.49,98.05,58.6,42.14,45.97,42.14,158.0,96.0,94.0,348.0,49.0,20.0,6.0,20.0,3.0,104.0,58.0,109.0,205.0,2.0,7.0,130.0,29.0,28.0,22.0,127.0,60.0,67.0,4.69,7.45,33.83,7.0,10.0,32.0,348.0,254.0,254.0,8.0,3.7,4.83,4.83,44.84,44.84,41.79,141.28,31.46,9.81,26.06,4.62,72.77,47.28,30.03,31.46,30.03,128.0,64.0,71.0,263.0,22.0,14.0,1.0,17.0,2.0,67.0,70.0,106.0,170.0,5.0,13.0,130.0,33.0,17.0,26.0,112.0,34.0,46.0,4.84,3.9,22.71,5.0,1.0,16.0,263.0,192.0,192.0,10.0,2.81,4.43,4.43,29.84,29.84,29.15
NYR,2023,NYR,NYR,Team Level,all,82,0.52,0.51,0.52,298478.0,2719.29,267.6,184.93,657.11,92.09,1503.48,1078.8,254.2,268.54,255.12,2582.0,1202.0,1382.0,5166.0,278.0,255.0,41.0,492.0,16.0,1404.0,1339.0,2304.0,3506.0,283.0,639.0,2380.0,1981.0,563.0,588.0,2845.0,647.0,292.0,82.38,78.91,106.3,102.0,90.0,86.0,5181.96,3784.0,3797.81,316.0,41.33,51.89,51.99,256.94,257.75,248.7,2568.98,249.94,172.62,633.54,87.81,1377.13,1009.94,237.65,249.47,237.23,2419.0,1112.0,1372.0,4903.0,226.0,293.0,28.0,412.0,17.0,1243.0,1340.0,2193.0,3305.0,297.0,668.0,2174.0,1683.0,485.0,551.0,2632.0,620.0,279.0,74.27,77.71,97.96,75.0,87.0,64.0,4872.69,3531.0,3515.76,285.0,38.29,57.55,57.62,230.61,230.43,224.52
NYR,2023,NYR,NYR,Team Level,5on5,82,0.49,0.5,0.5,242468.0,2063.53,162.67,132.56,527.27,69.22,1133.41,839.87,157.08,163.61,158.0,1974.0,891.0,1101.0,3966.0,166.0,190.0,23.0,411.0,11.0,1022.0,1065.0,1808.0,2699.0,256.0,582.0,1821.0,1869.0,445.0,493.0,2254.0,458.0,153.0,64.86,55.14,42.68,86.0,61.0,19.0,3981.96,2865.0,2878.81,280.0,27.47,35.89,36.3,153.85,154.67,151.91,2048.61,167.47,131.6,526.74,70.42,1097.85,824.92,160.99,167.0,160.57,1931.0,888.0,1132.0,3951.0,165.0,234.0,26.0,336.0,13.0,986.0,1085.0,1766.0,2654.0,260.0,593.0,1669.0,1579.0,410.0,447.0,2176.0,478.0,165.0,60.04,61.24,46.19,68.0,69.0,28.0,3920.69,2819.0,2803.76,250.0,27.28,43.53,44.14,150.61,150.43,147.99
NYR,2023,NYR,NYR,Team Level,4on5,82,0.15,0.17,0.19,22916.0,80.56,8.53,4.5,12.0,2.59,25.9,54.48,8.37,8.53,8.37,72.0,36.0,13.0,121.0,7.0,7.0,1.0,4.0,1.0,20.0,69.0,65.0,101.0,10.0,20.0,174.0,61.0,73.0,25.0,70.0,26.0,12.0,1.97,3.2,3.36,1.0,5.0,1.0,121.0,108.0,108.0,20.0,1.03,1.2,1.2,8.35,8.35,8.3,325.82,47.11,28.58,72.76,10.94,188.04,98.57,42.77,47.11,42.77,298.0,148.0,155.0,601.0,36.0,44.0,1.0,56.0,2.0,177.0,131.0,262.0,410.0,23.0,44.0,223.0,25.0,15.0,56.0,290.0,90.0,66.0,8.08,10.38,28.65,1.0,15.0,20.0,601.0,446.0,446.0,4.0,7.6,9.44,8.91,45.8,45.8,43.06
NYR,2023,NYR,NYR,Team Level,5on4,82,0.93,0.89,0.88,21856.0,395.75,50.43,35.01,85.81,13.78,246.11,125.87,46.61,50.43,46.61,378.0,179.0,174.0,731.0,56.0,38.0,11.0,57.0,1.0,258.0,147.0,322.0,501.0,15.0,30.0,255.0,22.0,17.0,48.0,394.0,103.0,60.0,10.87,13.11,26.44,8.0,14.0,34.0,731.0,557.0,557.0,8.0,9.13,9.96,9.67,49.88,49.88,46.69,53.29,3.91,2.63,7.99,1.84,18.46,39.17,3.87,3.91,3.87,62.0,12.0,14.0,88.0,3.0,1.0,0.0,3.0,0.0,13.0,54.0,59.0,71.0,9.0,18.0,152.0,46.0,43.0,22.0,54.0,18.0,2.0,1.31,2.19,0.41,1.0,2.0,0.0,88.0,74.0,74.0,21.0,0.6,0.15,0.15,4.36,4.36,4.32
TBL,2023,TBL,TBL,Team Level,other,82,0.48,0.5,0.49,11158.0,152.12,39.92,10.93,25.76,5.05,81.56,46.79,35.3,39.92,35.3,146.0,64.0,80.0,290.0,43.0,16.0,3.0,23.0,0.0,69.0,59.0,103.0,167.0,7.0,17.0,139.0,35.0,23.0,20.0,93.0,58.0,59.0,3.9,7.31,28.72,5.0,10.0,28.0,290.0,210.0,210.0,5.0,3.24,6.18,6.18,36.98,36.98,34.33,161.49,44.04,11.96,28.32,5.54,81.71,50.44,40.67,44.04,40.67,155.0,67.0,63.0,285.0,37.0,16.0,2.0,28.0,3.0,71.0,67.0,118.0,185.0,6.0,15.0,127.0,28.0,28.0,17.0,99.0,51.0,72.0,4.02,6.58,33.44,4.0,8.0,25.0,285.0,222.0,222.0,8.0,3.49,5.39,5.39,42.14,42.14,39.66
TBL,2023,TBL,TBL,Team Level,all,82,0.51,0.51,0.51,297761.0,2559.93,269.37,177.28,600.43,85.39,1383.75,1000.77,254.7,270.02,255.34,2402.0,1115.0,1428.0,4945.0,288.0,246.0,40.0,478.0,8.0,1241.0,1256.0,2114.0,3229.0,303.0,703.0,2331.0,1982.0,528.0,607.0,2517.0,702.0,298.0,73.8,87.81,107.76,90.0,108.0,90.0,4969.52,3517.0,3529.91,294.0,39.84,54.9,54.93,254.29,254.83,247.55,2474.16,260.06,170.12,590.31,83.81,1329.85,967.84,246.24,260.79,246.87,2430.0,972.0,1360.0,4762.0,267.0,272.0,29.0,441.0,14.0,1170.0,1238.0,2163.0,3135.0,312.0,720.0,2173.0,2053.0,602.0,531.0,2468.0,626.0,308.0,72.91,77.61,109.53,103.0,89.0,75.0,4757.9,3402.0,3408.26,279.0,37.92,58.02,58.02,239.96,240.42,232.65
TBL,2023,TBL,TBL,Team Level,5on5,82,0.5,0.51,0.5,242162.0,1946.64,166.07,129.12,481.28,64.85,1054.59,785.08,159.98,166.73,160.62,1814.0,867.0,1175.0,3856.0,172.0,180.0,25.0,376.0,7.0,958.0,988.0,1642.0,2509.0,270.0,620.0,1794.0,1859.0,433.0,514.0,2020.0,502.0,159.0,58.81,63.54,43.74,76.0,77.0,19.0,3880.52,2681.0,2693.91,266.0,26.87,36.0,36.03,156.9,157.45,154.66,1931.43,167.8,125.59,484.94,65.94,1035.3,776.44,161.02,168.53,161.64,1894.0,762.0,1119.0,3775.0,190.0,219.0,25.0,357.0,7.0,901.0,982.0,1704.0,2466.0,286.0,662.0,1660.0,1945.0,502.0,452.0,2013.0,463.0,180.0,58.02,57.49,52.28,88.0,72.0,30.0,3770.9,2656.0,2662.26,243.0,26.13,44.69,44.82,149.1,149.55,146.99
TBL,2023,TBL,TBL,Team Level,4on5,82,0.15,0.15,0.18,22610.0,74.59,7.88,4.28,11.75,2.7,24.73,49.66,7.6,7.88,7.6,78.0,23.0,10.0,111.0,5.0,6.0,0.0,5.0,0.0,22.0,63.0,73.0,96.0,11.0,30.0,192.0,71.0,59.0,23.0,67.0,24.0,10.0,2.13,3.07,2.67,2.0,2.0,1.0,111.0,101.0,101.0,19.0,0.98,1.39,1.39,7.46,7.46,7.36,322.42,43.12,29.61,68.43,10.56,193.63,99.67,39.51,43.12,39.51,319.0,126.0,166.0,611.0,35.0,35.0,2.0,56.0,4.0,183.0,132.0,284.0,410.0,12.0,24.0,197.0,31.0,13.0,37.0,298.0,96.0,51.0,9.02,11.58,22.52,9.0,8.0,18.0,611.0,445.0,445.0,5.0,7.63,7.65,7.52,43.23,43.23,40.55
TBL,2023,TBL,TBL,Team Level,5on4,82,0.92,0.88,0.87,21831.0,386.57,55.5,32.95,81.63,12.8,222.87,119.25,51.83,55.5,51.83,364.0,161.0,163.0,688.0,68.0,44.0,12.0,74.0,1.0,192.0,146.0,296.0,457.0,15.0,36.0,206.0,17.0,13.0,50.0,337.0,118.0,70.0,8.96,13.89,32.64,7.0,19.0,42.0,688.0,525.0,525.0,4.0,8.77,11.33,11.33,52.94,52.94,51.21,58.79,5.11,2.95,8.63,1.79,19.22,41.3,5.04,5.11,5.04,62.0,17.0,12.0,91.0,5.0,2.0,0.0,0.0,0.0,15.0,57.0,57.0,74.0,8.0,19.0,189.0,49.0,59.0,25.0,58.0,16.0,5.0,1.85,1.96,1.29,2.0,1.0,2.0,91.0,79.0,79.0,23.0,0.67,0.29,0.29,5.49,5.49,5.45
