game_id,homeTeamShotsOnGoal5on5,awayTeamShotsOnGoal5on5,homeTeamShotsOnGoalAll,awayTeamShotsOnGoalAll,homeTeamCode,awayTeamCode,homeDefenderShots,awayDefenderShots,homeLongShots,awayLongShots,homeWRISTShots,awayWRISTShots,homeSLAPShots,awaySLAPShots,homeSNAPShots,awaySNAPShots,homeBACKHANDShots,awayBACKHANDShots,homeTIPShots,awayTIPShots,homeReboundShots,awayReboundShots
20001,22,18,33,31,TBL,NSH,10.0,3.0,11,5,12.0,9,5.0,4.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0
20002,33,29,40,36,PIT,CHI,7.0,6.0,11,10,16.0,24,0.0,1.0,4.0,1.0,8.0,2.0,5.0,1.0,3.0,5.0
20003,24,23,28,33,VGK,SEA,5.0,7.0,6,5,15.0,11,0.0,5.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0
20004,33,18,41,30,CAR,OTT,13.0,3.0,15,4,19.0,12,2.0,0.0,4.0,1.0,4.0,2.0,3.0,1.0,3.0,1.0
20005,25,17,42,24,TOR,MTL,6.0,5.0,7,5,20.0,13,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
20006,28,15,35,21,BOS,CHI,8.0,0.0,5,4,16.0,8,0.0,2.0,2.0,0.0,6.0,2.0,3.0,2.0,1.0,3.0
20007,13,23,22,37,CGY,WPG,5.0,4.0,7,5,9.0,11,0.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,3.0
20008,25,27,36,37,LAK,COL,5.0,7.0,10,9,11.0,12,1.0,3.0,4.0,6.0,6.0,5.0,1.0,1.0,2.0,3.0
20009,18,19,32,27,VAN,EDM,4.0,7.0,5,7,12.0,11,1.0,1.0,1.0,5.0,3.0,2.0,0.0,0.0,4.0,2.0
20010,18,24,25,31,BUF,NYR,8.0,4.0,8,5,10.0,15,1.0,0.0,4.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0
20011,24,25,33,37,CBJ,PHI,6.0,6.0,12,9,8.0,7,1.0,2.0,13.0,11.0,0.0,2.0,1.0,1.0,1.0,1.0
20012,20,24,27,35,NJD,DET,6.0,5.0,4,8,9.0,12,2.0,4.0,8.0,7.0,1.0,0.0,0.0,0.0,3.0,3.0
20013,27,17,34,24,DAL,STL,9.0,8.0,8,5,16.0,7,2.0,1.0,4.0,6.0,3.0,1.0,0.0,1.0,3.0,2.0
20014,10,28,21,41,MIN,FLA,5.0,7.0,7,8,4.0,14,0.0,4.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0
20015,24,19,35,23,NSH,SEA,7.0,5.0,9,8,12.0,9,3.0,2.0,2.0,4.0,6.0,1.0,0.0,1.0,0.0,1.0
20016,20,28,23,32,SJS,VGK,5.0,10.0,8,7,14.0,18,1.0,2.0,1.0,2.0,0.0,3.0,4.0,2.0,1.0,3.0
20017,22,23,36,33,NJD,ARI,10.0,5.0,10,3,9.0,8,4.0,1.0,6.0,6.0,1.0,5.0,0.0,3.0,0.0,5.0
20018,17,30,19,35,WSH,PIT,6.0,6.0,6,13,10.0,13,2.0,5.0,4.0,7.0,0.0,2.0,1.0,1.0,1.0,3.0
20019,21,14,31,21,OTT,PHI,4.0,4.0,12,5,17.0,8,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0
20020,26,14,35,33,WPG,FLA,8.0,3.0,10,3,17.0,7,2.0,2.0,1.0,1.0,5.0,1.0,0.0,2.0,3.0,3.0
20021,17,15,30,35,BOS,NSH,3.0,4.0,4,6,12.0,9,1.0,0.0,1.0,4.0,0.0,1.0,3.0,1.0,0.0,1.0
20022,19,36,21,42,CBJ,NYR,7.0,17.0,7,15,12.0,16,0.0,5.0,4.0,13.0,1.0,1.0,2.0,1.0,2.0,4.0
20023,38,21,42,25,DET,TBL,6.0,5.0,10,9,17.0,9,5.0,1.0,9.0,7.0,2.0,4.0,2.0,0.0,6.0,1.0
20024,25,13,36,30,MTL,CHI,9.0,1.0,7,5,17.0,9,1.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0
20025,21,27,29,36,PIT,CGY,7.0,6.0,10,7,11.0,23,3.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
20026,27,30,33,32,TOR,MIN,4.0,6.0,6,12,15.0,17,1.0,3.0,6.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0
20027,26,26,29,28,NYI,BUF,6.0,9.0,11,11,17.0,18,1.0,2.0,6.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0
20028,22,26,25,31,STL,SEA,10.0,9.0,11,12,14.0,15,1.0,2.0,4.0,3.0,2.0,2.0,0.0,4.0,1.0,1.0
20029,23,11,40,16,EDM,VAN,5.0,2.0,8,4,9.0,3,3.0,1.0,5.0,4.0,4.0,1.0,2.0,2.0,3.0,0.0
20030,15,36,21,52,SJS,COL,1.0,12.0,2,15,10.0,23,0.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0
