team,avg_shots_on_goal,corsi,fenwick,corsi_%,fenwick_%,o_zone_faceoff_%,d_zone_faceoff_%,n_zone_faceoff_%
TBL,22.134146341463413,47.03658536585366,32.707317073170735,0.5053721174004193,0.5024353690520794,0.4992971330669549,0.536210765792054,0.5408972636633927
PIT,25.5,51.170731707317074,36.609756097560975,0.5123946757845891,0.5069233367105708,0.5556595526768449,0.569116459960536,0.5104699709303281
VGK,24.463414634146343,48.59756097560975,34.292682926829265,0.48550194931773877,0.4948961633227737,0.5111202037829846,0.5204225096488232,0.4893700547903835
CAR,26.182926829268293,57.426829268292686,40.74390243902439,0.5955482483875048,0.5851138353765324,0.5049276678180176,0.5322973292240074,0.5306799213761464
TOR,25.0609756097561,50.03658536585366,35.90243902439025,0.5096261333995777,0.5137870855148342,0.5405120327092764,0.5546206725686698,0.5319046993346622
BOS,21.890243902439025,43.390243902439025,31.4390243902439,0.47032385988103104,0.47494473102431833,0.43684078363706075,0.5453551430019853,0.4870619934509348
CGY,24.329268292682926,50.31707317073171,35.59756097560975,0.5120377264829983,0.5161803713527852,0.49218951469937633,0.532030287712026,0.4752065494839652
LAK,25.609756097560975,50.8780487804878,37.109756097560975,0.5391574050142156,0.5487826871055005,0.4819469663999178,0.516791537919517,0.5223642272215103
VAN,21.51219512195122,45.75609756097561,32.52439024390244,0.5143953934740882,0.5118019573978123,0.5175868893937432,0.5394737325807091,0.5036666392665787
BUF,24.097560975609756,47.853658536585364,34.47560975609756,0.5066494512588767,0.505814993737699,0.44089351821123146,0.488670241357551,0.4409504196542631
CBJ,23.646341463414632,48.90243902439025,34.47560975609756,0.4776652769505658,0.47448808324941255,0.43460248958366915,0.4867407755797931,0.4938650502143809
NJD,23.817073170731707,49.21951219512195,34.646341463414636,0.5191664522768201,0.5076840600428878,0.5145915002468834,0.5715584790355425,0.521889137661293
DAL,24.9390243902439,51.97560975609756,36.8780487804878,0.5314214463840399,0.5308056872037915,0.5252333939572377,0.5336591426662173,0.5712263627500471
MIN,21.804878048780488,45.28048780487805,32.0609756097561,0.4963903743315508,0.49876683741225575,0.44429343764749146,0.4730353502803017,0.4704697574968251
NSH,24.817073170731707,49.48780487804878,35.75609756097561,0.5147786375745275,0.5183875530410184,0.4927261430749534,0.5206332168255449,0.5167807577048718
SJS,20.5609756097561,43.59756097560975,30.475609756097562,0.4381664419659272,0.43310225303292893,0.49504807790269917,0.484409036195345,0.49870009118757025
WSH,20.5609756097561,44.4390243902439,30.74390243902439,0.46652157214185125,0.46307861866274797,0.42961350493818423,0.48056159959685685,0.47059522069800264
OTT,23.78048780487805,48.5609756097561,34.6219512195122,0.504433747149734,0.5115315315315315,0.4720474153476494,0.5189240110948093,0.4961944689696676
WPG,24.48780487804878,48.792682926829265,35.63414634146341,0.510918145830673,0.5138034112889045,0.46715059557221456,0.5126327142047095,0.4602561374745367
DET,21.426829268292682,43.31707317073171,30.914634146341463,0.45962732919254656,0.45890658942795076,0.5023632641218346,0.5101511203184071,0.498588668470818
MTL,21.329268292682926,43.74390243902439,31.158536585365855,0.4564193917801247,0.46194178267944314,0.48787604865580025,0.5432878893350013,0.494445127331603
NYI,24.182926829268293,47.74390243902439,34.74390243902439,0.4691431995206711,0.48296321410408544,0.49512492864263613,0.5100919470399533,0.523128865517806
STL,22.073170731707318,42.3780487804878,31.146341463414632,0.4527097446586764,0.4549340933380834,0.4759590814909417,0.4908784633482588,0.500937162651087
EDM,26.73170731707317,52.646341463414636,37.91463414634146,0.5518343346542247,0.5487116131309566,0.5402928761018762,0.5638375127197975,0.5235122833930941
ANA,20.329268292682926,40.78048780487805,29.548780487804876,0.46392896781354054,0.4647995396125072,0.46311129242819565,0.44176544774682763,0.5019555975018295
NYR,24.073170731707318,48.353658536585364,34.926829268292686,0.5010741817262733,0.504225352112676,0.4858004102635188,0.549288934255664,0.5388281095666498
PHI,25.353658536585368,50.0609756097561,36.292682926829265,0.5158331239004775,0.540501271340356,0.45241544542116097,0.5041325969051937,0.5381308436687982
SEA,22.865853658536587,49.23170731707317,33.73170731707317,0.5131562221939748,0.49721373359698007,0.46788434119514705,0.49002601522987604,0.46785166781627174
FLA,24.670731707317074,51.4390243902439,35.353658536585364,0.5570522979397782,0.5376483679525222,0.5033337415877905,0.5232248992669593,0.5006628276259032
COL,25.29268292682927,51.24390243902439,35.926829268292686,0.526896551724138,0.5213236595292868,0.4936150411283505,0.48546832130434536,0.46060340365676816
ARI,21.609756097560975,45.40243902439025,32.30487804878049,0.48520787175811286,0.47885032537960953,0.46022179882143643,0.46707809639602554,0.4471621002035347
CHI,20.609756097560975,41.28048780487805,29.170731707317074,0.4370561652679148,0.43317638536762043,0.4531407964792583,0.46620586388435437,0.4716446192664761
